	name	mz	RT	HU_pos_001	HU_pos_007	HU_pos_013	HU_pos_022	HU_pos_040	HU_pos_050	HU_pos_060	HU_pos_081	HU_pos_086	HU_pos_116	HU_pos_124	HU_pos_140	HU_pos_145	HU_pos_162	HU_pos_183	HU_pos_188b	HU_pos_189b	HU_pos_189	HU_pos_192b	HU_pos_193b	HU_pos_204b	HU_pos_205b	HU_pos_213	HU_pos_214	HU_pos_224
1	M50T350	50.226955	349.559515	375013.1276	1997693.353	0	2071077.851	0	2019939.894	4460350.829	880566.2618	4589220.227	0	5017562.406	0	1585425.252	3107641.253	0	0	0	391139.5694	1462866.064	0	3301252.985	284723.4668	0	8398078.21	0
2	M51T316	51.28014897	316.2428769	2278437.105	213624.8383	0	269540.085	1813211.264	538471.366	157273.4704	163706.2328	235317.3703	0	0	136956.596	590298.7501	172579.5892	0	0	3155421.311	2530103.87	2672596.845	0	723518.4186	488337.4723	201342.7276	1826714.322	324469.8726
3	M51T349	51.28733967	349.3182991	0	3988480.199	0	2500236.59	0	2129664.431	3400689.075	1076637.871	5982629.09	0	3882131.04	0	0	6200147.446	244529.9096	0	392420.481	317088.4549	1042963.487	0	4425878.621	0	0	4849777.598	0
4	M51T316_2	51.3007024	316.3434345	1800327.695	2046424.403	723817.6677	150667.4296	1468052.521	670385.2614	575777.1051	695872.3778	744178.3176	612975.4741	1439643.919	0	567340.1263	378346.4732	0	0	2555640.721	1263223.361	1362730.346	389416.2805	1296269.022	521256.1312	466489.7158	1365027.975	1233585.211
5	M51T316_3	51.31288487	316.4544704	1208414.575	1546696.908	723460.6733	150634.094	1492981.97	491348.2906	575740.5535	695872.3778	743683.1577	613627.1594	1455185.556	0	567340.1263	379365.3879	0	0	1807720.97	1131969.628	1394214.377	390190.5178	1295481.958	520588.3168	466489.7158	1017820.628	1112428.73
6	M53T350	52.94600327	349.5218483	318827.2411	1227462.754	0	1855756.227	0	1038084.109	2786277.589	939531.2323	829285.8587	0	2055256.474	0	0	0	0	0	0	0	0	0	0	0	0	2287560.011	0
7	M53T46	52.97799619	46.18337847	1453014.063	219202.8029	1501300.709	1204174.588	1422383.555	540877.6106	1213625.847	4371355.784	3408313.801	793308.3907	1988582.671	0	4134155.996	3225231.395	1317421.535	1295808.719	4359172.017	2535913.965	963683.7021	209652.4461	660625.0385	5345639.589	133545.3473	884416.1201	115844.2488
8	M53T46_2	52.99116734	46.1644	1590625.661	215571.0598	2360116.274	1674509.129	2441238.736	834609.6111	1612247.67	7843069.28	4688216.83	1454548.34	2586649.474	0	0	4592385.538	2237472.126	1798599.69	5699701.926	2951658.785	1264030.568	416853.9612	1675731.758	1469711.17	162843.7872	1684413.797	232094.7436
9	M53T46_3	52.99815425	46.1644	1590625.661	215571.0598	2271162.67	1747481.739	2321761.372	835343.0646	1584300.507	7078589.514	3312962.102	1349214.172	2667659.138	0	0	4671891.187	2048976.688	1619764.944	5893611.294	2903222.768	1264030.568	416853.9612	1675731.758	6345005.724	162843.7872	1672078.989	232094.7436
10	M53T46_4	53.01838427	46.1644	618115294.6	224737098.3	765691056.8	642881240.8	912771957.8	502261489.1	750843688.8	2281198916	1418198777	530264907.1	900186475.6	78794118.91	128412033.4	1452264714	729814945.2	621305162.9	1786269049	949588555.3	622532815.7	260922554.9	558001866.5	1978167178	175319999.1	700030314.9	124581673.4
11	M53T46_5	53.04057746	46.1644	2871487.429	529119.0421	4293663.032	3308452.647	5006307.818	2347795.254	3991188.125	12939705.28	8998422.976	2830239.343	4362503.018	0	0	8095853.579	3547847.042	3009108.781	10918875.19	5355249.449	3324595.873	700407.4707	2963951.369	4286113.136	220010.4727	3896314.414	138612.3539
12	M53T46_6	53.04796365	46.1644	2725908.389	529119.0421	4550980.413	3612038.889	5575930.965	2828825.629	4355952.278	14135468.56	3196066.021	2600048.175	4362503.018	0	0	8095853.579	4167679.106	3009108.781	10452174.83	5849132.678	3324595.873	700407.4707	2963951.369	11781314.13	219591.4423	4102442.265	138612.3539
13	M53T46_7	53.05722686	45.6995541	2725908.389	526984.1583	4293663.032	3308452.647	5006307.818	2347795.254	3991188.125	12939705.28	8320755.118	2600048.175	5548523.615	0	0	8854665.966	3547847.042	3009108.781	9377122.307	5355249.449	3324595.873	700407.4707	2963951.369	4286113.136	219591.4423	3896314.414	139323.3386
14	M53T46_8	53.08637522	45.66486121	0	173013.2777	160322.0005	0	0	0	197643.6695	1734859.724	1039003.051	620368.765	161312.7943	0	0	1236247.178	0	161840.5638	1123890.488	206902.4692	221555.1776	0	0	0	0	0	109740.2269
15	M54T46	53.51884285	46.1644	49463899.88	20758564.11	88476903.41	65870337.12	97024883.25	51265013.56	82420075.12	297939301.3	179752723.1	62704981.83	101209780.8	4611792.141	8763551.118	178707286.7	77727276.49	70842042.14	228523059.7	108169235.8	61273012.58	17518652.41	63778848.99	245318924.4	13547517.08	76732928.7	7140777.282
16	M54T350	53.5897619	349.5187761	590745.5382	3979115.891	0	3305150.899	269455.1968	1925050.239	5164627.175	1192625.913	5998530.369	0	5330746.185	0	2099361.646	3589800.784	0	216963.089	808783.2975	352563.6798	2066120.916	0	1080620.173	1169057.186	225175.9489	5807597.262	0
17	M54T349	53.68984633	349.3586486	0	3457868.194	298690.9558	3185183.434	0	1569891.603	3740951.984	0	4352982.921	0	2931088.137	0	0	1985007.522	0	0	738008.5289	0	324548.4922	0	3313813.654	0	0	3481386.397	0
18	M54T46_2	54.01716295	46.1644	53318557.29	21501851.25	94784390.86	74981686.72	115557417.7	58604860.93	94430695.3	345557957.7	202696028	66371199.28	111100091.6	5990474.223	10345053.85	211063885.7	86782234.93	77124824.53	266703589.3	130088024.1	73465966.3	23929447.97	74158541.66	306197602	14426831.84	83073577.62	5663588.144
19	M54T350_2	54.1153448	350.0195389	6179307.768	7993838.994	3608185.839	7189502.527	5892392.963	7159869.539	7011676.712	6267716.689	7914023.716	4790428.689	6595853.891	991972.6317	5168359.282	3402280.619	4187974.91	1974339.557	6663860.745	4573108.053	5798423.375	3422049.397	6291530.007	7803027.996	1639819.239	5568396.783	0
20	M55T46	54.51882009	46.15982145	247695.7176	0	515093.8301	592587.0241	325094.3574	0	836112.787	4865218.399	1246687.702	706426.4336	1436466.224	99120.19587	267600.4601	1583512.556	1137415.648	699958.0208	1741678.932	234560.4759	749185.0241	0	389770.2767	3582002.342	0	1157502.587	0
21	M55T350	54.64881565	349.5202763	0	2781412.457	0	3303428.16	0	3156177.814	5347032.725	1228052.723	6246283.904	0	5925125.872	0	1821457.128	2913570.22	0	0	910758.9021	447564.0841	2072150.776	0	591911.2877	523219.7735	0	5812462.787	106631.3093
22	M55T66	55.05413623	65.57763581	3236152.227	5504260.831	1077632.283	2543601.153	3374395.684	4878169.937	2569301.231	3155308.697	4319915.364	0	4199495.463	1717494.317	7846838.158	7729194.291	1641497.627	2059189.6	9753129.889	5577423.84	4504191.221	7485200.502	12377731.3	7951809.756	3976566.019	3972951.419	1465747.289
23	M55T312	55.05398566	312.4331261	466528.964	1696065.447	1468675.573	622634.1305	1498601.002	578601.8218	1555290.95	3867499.727	3996623.049	0	1713775.583	185006.273	0	197177.5504	812678.0039	439099.0794	3303906.399	783445.3943	2301522.079	495816.2502	1494883.838	1708927.849	0	123102.782	119866.8505
24	M56T349	55.91431477	349.2979625	303735.5362	4081513.002	339167.1497	1754342.973	0	1661329.733	2748564.478	0	4439813.405	0	3893560.423	0	328405.3962	2997259.475	0	0	0	238063.3191	956703.9986	0	4409902.299	0	0	4319589.804	0
25	M57T349	57.16087312	349.4665992	0	1757902.352	0	2149405.359	0	1657083.168	3763495.553	1412664.133	4386445.25	0	4771715.67	0	2104594.542	2845978	0	160714.8934	478295.1849	0	1552168.875	0	3263805.993	297226.6036	0	8820340.12	0
26	M57T65	57.2896555	65.39156489	0	0	0	4140054.362	202730.2347	0	1517951.288	744416.5243	961954.0102	0	1134511.926	0	1753088.94	311630.4825	0	0	0	0	0	0	779641.6828	490350.0918	343882.715	969190.5928	0
27	M58T56	58.04582265	55.53397322	0	8550094.575	0	1976307.153	326619.9393	1132237.496	1376681.411	1038048.156	2811767.165	0	1157825.608	324054.1986	2583417.239	1530902.64	222874.4806	0	0	2184661.193	1219322.025	0	1875521.79	0	1668037.32	943779.7018	0
28	M58T56_2	58.06506322	55.70256967	474341083.9	2480807801	329041120.9	810234681.1	397580634.7	626870281.9	588017441.6	720969420.8	1328646596	306722391.3	757803628.1	457532076.3	1001530942	850305776.8	267192185.2	21186158.92	567281863.4	786405741	863434781.1	525425471.3	640699995.6	386492670.8	630866488.5	698147338.2	88556.72287
29	M58T56_3	58.08434875	55.53345705	1921795.551	12476043.35	0	3277079.448	1180968.724	2641017.137	1899050.721	2736489.461	6525690.085	537216.6924	3749761.711	1718954.757	4154793.827	3588615.229	311564.5066	0	579227.653	3717542.719	3268070.491	1794549.563	1438677.248	326795.2046	2688223.817	2706425.351	0
30	M58T56_4	58.11170141	55.56150357	877431.08	13693924.11	381420.5738	3968992.197	1527200.877	1875430.901	2414024.442	3019027.525	6698559.272	666666.4454	3609727.168	1413913.315	5310427.7	4061600.582	762135.3835	0	454103.647	3937998.227	2855832.916	1299664.562	2407874.036	722833.8618	4205159.503	3381074.316	0
31	M59T251	59.04903822	250.9874492	5145479.414	30052220.54	12294189.1	5982030.122	7117083.915	19000992.53	6476430.287	9515299.321	88223631.01	4042959.561	23837379.14	4187020.303	5251722.86	14977611.73	3891060.172	0	23644019.56	11799063.15	49604149.43	12771134.93	8293478.582	12768900.2	1323065.365	2718619.865	0
32	M59T56	59.07304483	55.56130726	55640891.76	658545367.5	39176486.29	132707517.4	46155034.08	97349929.49	84157777.39	126090115.2	331229230.4	31812877.63	126180191.6	54006147.5	257476670.5	176794692	34913276.24	1464504.044	23450415.97	158762803.2	133159975.9	55794388.59	115555967.6	28207777.6	122744531.8	152907740.6	0
